Title,Description,Published Date,Video URL
If You Ever Should Leave / Fletcher Henderson and his Orchestra,If You Ever Should Leave Fletcher Henderson and his Orchestra Vocal Chorus Chick Richards Vocalion 3627 (C1955-1) Fletcher ...,2021-08-30T08:05:47Z,https://www.youtube.com/watch?v=DXA7PfNWeg0
Fletcher Henderson - All God&#39;s Chillun Got Rhythm - Chicago 30.06.37,"Fletcher Henderson And His Orchestra Dick Vance (tp) Emmett Berry Russell Smith (tp) John McConnell, Albert Wynn, Ed Cuffee ...",2012-09-05T12:29:22Z,https://www.youtube.com/watch?v=wBaQyhLE04s
Chris and his Gang / Fletcher Henderson and his Orchestra,"Chris and his Gang Fletcher Henderson and his Orchestra Vocalion 3641 (C1958-1) Fletcher Henderson(p,dir); Dick Vance, ...",2021-08-30T08:06:12Z,https://www.youtube.com/watch?v=pmfs5rl1bJo
All God&#39;s Chillun Got Rhythm / Fletcher Henderson and his Orchestra,All God's Chillun Got Rhythm Fletcher Henderson and his Orchestra Vocal Chorus Jerry Blake Vocalion 3641 (C1957-2) Fletcher ...,2021-08-30T08:06:02Z,https://www.youtube.com/watch?v=n8TeOSUF4JQ
Posin&#39; / Fletcher Henderson and his Orchestra,"Posin' Fletcher Henderson and his Orchestra Vocal Chorus Chick Richards Vocalion 3627 (C1956-1) Fletcher Henderson(p,dir); ...",2021-08-30T08:05:56Z,https://www.youtube.com/watch?v=zjWg_Eub_qg
All God&#39;s Chillun Got Rhythm - Fletcher Henderson And His Orchestra,"Recorded on June 3, 1937. This song was featured in the film A Day At The Races. For more information please see: ...",2014-08-11T22:57:51Z,https://www.youtube.com/watch?v=ljx1HzOFBgQ
Fletcher Henderson And His Orchestra  &quot;I Need Lovin&quot;  (1926) - Columbia 854-D.,"Fletcher Henderson And His Orchestra: Russell Smith, Joe Smith, Tommy Ladnier (tp) Benny Morton (tb) Buster Bailey (cl,sop,as) ...",2020-07-14T23:04:11Z,https://www.youtube.com/watch?v=YwCpoE0-RN8
"Coleman Hawkins - Why Put The Blame On You? - New York, early February 1924","Fletcher Henderson And His Orchestra Elmer Chambers, Howard Scott (cn) Teddy Nixon (tb) Don Redman (cl, as) Coleman ...",2013-10-08T14:43:07Z,https://www.youtube.com/watch?v=guA6pPy6TNo
"Fletcher Henderson - Charley, My Boy - New York, 07.30.1924","Fletcher Henderson And His Orchestra Elmer Chambers, Howard Scott (cnt); Charlie Green (tb); Don Redman (cl, as); Unknown ...",2011-10-23T14:21:15Z,https://www.youtube.com/watch?v=MarnFVi7dTE
Grand Piano Blues (Earl Hines),"Earl Hines and His Orchestra play 'Grand Piano Blues"" on Victor V-35089-A, recorded 25 October 1929.",2015-08-31T01:08:50Z,https://www.youtube.com/watch?v=bl2BAV8nQpY
"Charlie Parker on 52nd Street Theme 2 - March 31, 1948","Transcription Rémi Bolduc Charlie Parker Alto Sax Solo Place: The Three Deuces, New York Group: Charlie Parker Quintet with ...",2022-01-07T03:41:03Z,https://www.youtube.com/watch?v=vcet0S-gs6Q
Bongo Bop (D-1102-A) / Charlie Parker Quintet,Bongo Bop (D-1102-A) Charlie Parker Quintet Dial 1024-A Miles Davis(tp) Charlie Parker(as) Duke Jordan(p) Tommy Potter(b) ...,2018-02-10T02:50:36Z,https://www.youtube.com/watch?v=dDsBZ_Ukp2s
Artie Shaw And His Orchestra - I Surrender Dear,"Harry Geller, Bernie Privin, Chuck Peterson (tp) Goerge Arus, Len Jankins, Barry Rogers (tb) Artie Shaw (cl) Les Robinson, Hank ...",2018-06-01T13:08:28Z,https://www.youtube.com/watch?v=kh3eh_m81_Y
Lover Come Back To Me - Dizzy Gillespie and His Orchestra (1948),,2013-03-22T16:18:56Z,https://www.youtube.com/watch?v=02mvQtZXb-A
The Benny Goodman Quartet 1959-Avalon,"The Song Is Called Avalon This Clip Was Recorded December 17, 1959 Featuring Benny Goodman On Clarinet, Jess Stacy On ...",2018-01-25T23:53:35Z,https://www.youtube.com/watch?v=3MTx1eQlzlY
The Benny Goodman Quartet - Together Again! (1964) (Full Album),"Clarinet – Benny Goodman Drums – Gene Krupa Piano – Teddy Wilson Vibraphone – Lionel Hampton Recorded - February 13, ...",2017-08-24T11:24:46Z,https://www.youtube.com/watch?v=kC0PWycM15U
You Can Tell She Comes From Dixie - Phil Harris and His Orchestra - 1936 - HQ Sound,"Recorded by Phil Harris and His Orchestra on December 17th, 1936 in Los Angeles, CA for ARC and released on Vocalion.",2019-03-14T16:57:15Z,https://www.youtube.com/watch?v=eNzLfiuF4z4
1939 GLENN MILLER Cinderella (Stay In My Arms) RAY EBERLE vocals - 78 RPM Record - Big Band,Glenn Miller And His Orchestra – Cinderella (Stay In My Arms) Fox Trot - Vocal refrain by Ray Eberle Written by Jimmy Kennedy ...,2023-02-01T11:00:35Z,https://www.youtube.com/watch?v=kUPBdvx0asA
Harry James- St. Regis Jam Session 1938,"In 1938 Alastair Cooke was sent to New York by the BBC. He arrives to bring Swing Music back to England, where it had not been ...",2013-10-03T22:17:38Z,https://www.youtube.com/watch?v=VL2XKk7om_o
BRUNSWICK Sonderplatte: JIMMIE LUNCEFORD Chocolate / Battle Axe 1941 NYC Swing,BRUNSWICK SONDERPRESSUNG Weihnachten 1954 a) Chocolate (Butterfield) JIMMIE LUNCEFORD and his Orchestra Mx: ...,2021-07-12T05:15:01Z,https://www.youtube.com/watch?v=20vGPy_oI2A
"Coleman Hawkins &amp; Lionel Hampton And His Orchestra - Dinah, Take 2","Lionel Hampton And His Orchestra Benny Carter , Dizzy Gillespie (tp); Edmond Hall (cl); Coleman Hawkins, Joe Sullivan (ts); ...",2013-07-05T21:22:32Z,https://www.youtube.com/watch?v=Ht9HEzXwhss
"&quot;KEEP SMILING AT TROUBLE&quot;: HACKETT, MARSALA, PEE WEE, BUD, BUSHKIN, CONDON, SHAPIRO, TOUGH (11.5.38)","This performance is both rare and familiar, famous and infamous, and you'll hear why. It comes from a jam session organized by ...",2021-12-22T15:03:39Z,https://www.youtube.com/watch?v=9g4LAMmpnKE
Blue Skies / Paul Whiteman&#39;s Sax Soctette,"Blue Skies Paul Whiteman's Sax Soctette Decca 2698 A (65362-A) Paul Whiteman(dir); Al Gallodoro, Sal Franzella, Frank ...",2021-03-28T07:23:51Z,https://www.youtube.com/watch?v=xP4YYzHs5no
Blue Skies / Paul Whiteman&#39;s Sax Soctette,"Blue Skies Paul Whiteman's Sax Soctette Decca 2698 A (65362-A) Paul Whiteman(dir); Al Gallodoro, Sal Franzella, Frank ...",2024-11-18T07:12:55Z,https://www.youtube.com/watch?v=n5humSbtbSs
After You&#39;ve Gone / Paul Whiteman&#39;s Sax Soctette,"After You've Gone Paul Whiteman's Sax Soctette Decca 2467 A (65365-A) Paul Whiteman(dir); AlGallodoro, Sal Franzella, Frank ...",2024-11-18T07:03:37Z,https://www.youtube.com/watch?v=WNLmQBSBmSA
After You&#39;ve Gone / Paul Whiteman&#39;s Sax Soctette,"After You've Gone Paul Whiteman's Sax Soctette Decca 2467 A (65365-A) Paul Whiteman(dir); AlGallodoro, Sal Franzella, Frank ...",2021-03-28T07:32:59Z,https://www.youtube.com/watch?v=NdXL8DCPRV0
What&#39;ll I Do / Paul Whiteman&#39;s Sax Soctette,"What'll I Do Paul Whiteman's Sax Soctette Decca 2698 B (65363-A) Paul Whiteman(dir); AlGallodoro, Sal Franzella, Frank ...",2024-11-18T07:03:30Z,https://www.youtube.com/watch?v=69Qyw6LpZks
What&#39;ll I Do / Paul Whiteman&#39;s Sax Soctette,"What'll I Do Paul Whiteman's Sax Soctette Decca 2698 B (65363-A) Paul Whiteman(dir); AlGallodoro, Sal Franzella, Frank ...",2021-03-28T07:29:05Z,https://www.youtube.com/watch?v=JIVviJH5pek
Mandy / Paul Whiteman and his Swing Wing,Mandy Paul Whiteman and his Swing Wing featuring Four Modernaires Decca 2696 B (65370-A) Paul Whiteman(dir); Bob ...,2021-03-28T07:56:33Z,https://www.youtube.com/watch?v=ODrHygYn5DU
Charlie Parker – Jazz At The Philharmonic - Oh Lady Be Good,"Charlie Parker – Jazz At The Philharmonic - Oh Lady Be Good .................................................... Alto Saxophone – Charlie Parker, ...",2022-01-28T13:48:13Z,https://www.youtube.com/watch?v=X_M8Cn-ckt4
[ JAZZ AT THE PHILHARMONIC | The Beginning ] (1944),,2020-01-28T11:27:20Z,https://www.youtube.com/watch?v=CFxrQhhZIpo
"78rpm: Embryo - Illinois Jacquet and his Orchestra, 1947 - RCA Victor 20-3278","A little Jacquet for the chill and a bit of apropos groovin' set for the New Year. ;) Be safe, folks. :) Dig.....",2016-01-01T09:04:20Z,https://www.youtube.com/watch?v=Tn8EmHp_ED8
The World Is Waiting For The Sunrise,Provided to YouTube by Columbia The World Is Waiting For The Sunrise · Benny Goodman Quartet · Benny Goodman Small ...,2014-11-09T03:14:45Z,https://www.youtube.com/watch?v=V_B12rSmJ0s
Jazz At The Philharmonic Vol.11 - The Man I Love (1946),"Dizzy Gillespie (trumpet), Lester Young and Charlie Ventura (tenor saxophone), Willie Smith (alto saxophone), Mel Powell (piano) ...",2017-07-30T05:43:59Z,https://www.youtube.com/watch?v=4Q79NZ2lwV8
