Title,Description,Published Date,Video URL
1936 BING CROSBY I&#39;m An Old Cowhand (From The Rio Grande) JIMMY DORSEY Orchestra - 78 RPM Record,Bing Crosby With Jimmy Dorsey And His Orchestra – I'm An Old Cowhand (From The Rio Grande) Written by Johnny Mercer 78 ...,2023-06-25T10:00:37Z,https://www.youtube.com/watch?v=lyK7C6V8090
Sleepy Lagoon / Harry James and his Orchestra,"Sleepy Lagoon Harry James and his Orchestra Columbia 36549 (CO 32472-1) Harry James(tp,dir); Claude Bowen, Nick Buono, ...",2024-06-19T02:39:14Z,https://www.youtube.com/watch?v=XDR8hwYS7zI
"Duke Ellington And His Orchestra { THE MOOCHE }  1928,",Brunswick 6812 DUKE ELLINGTON & HIS ORCH THE MOOCHE MX; E28359-Ａ ORIGINAL; (Brunswick 4122) DUKE ...,2022-04-12T17:00:34Z,https://www.youtube.com/watch?v=w5tN2_J8vsA
Glenn Miller - June 25th 1938 &amp; 1942,Here are two radio programs (bookends if you will) by Glenn Miller and his Orchestra. On the first program you will hear the band ...,2018-06-25T13:55:00Z,https://www.youtube.com/watch?v=GmfJTv7rkpc
"Glenn Miller - June 18, 1938","On Tuesday, June 14, 1938, Glenn Miller and his Orchestra opened at the Paradise Restaurant at 1619 Broadway in New York ...",2018-06-14T12:59:58Z,https://www.youtube.com/watch?v=7q3qGi_czhw
"Fud Candrix - Belleville - Paris, 12.03.1943","Django Reinhardt et son Grand Orchestre (Fud Candrix et son Orchestre) Maurice Giegas, Janot Morales, Lucien Devroye (tp); ...",2010-08-30T02:39:07Z,https://www.youtube.com/watch?v=l3tXxW4KLkw
Django Reinhardt Et Son Grand Orchestre Fud Candrix Et Son Orchestre - Mixture,"HI, we would like to present you something new musically speaking. Our tracks are not present in the YouTube library. Our music ...",2018-03-08T20:04:36Z,https://www.youtube.com/watch?v=d1BRXiuikro
"&quot;Saving You For Me&quot; - Jack Teagarden &amp; His Orchestra, v/ Christine Martin (1946)",Song: Saving You For Me Written by: unknown Artist: Jack Teagarden And His Orchestra A-Side: https://youtu.be/IB2cxOTfS-Y ...,2023-08-24T07:00:32Z,https://www.youtube.com/watch?v=qsfdIcdpo30
"Gene Krupa and his Orchestra:  &quot;Don&#39;t Cry, Cherie&quot;  (1941)","Source: shellac OKEH 78, #6198 (30238), recorded April 11, 1941 Tech data: mastered with AVA triple filter© process (no Dolby)",2020-01-23T18:28:28Z,https://www.youtube.com/watch?v=CZAaTOrIKBE
1941 GENE KRUPA Who BIG BAND JAZZ Instrumental - 78 RPM Record,"Gene Krupa And His Orchestra – Who Fox Trot - From ""Sunny"" Written by Otto Harbach, Oscar Hammerstein II and Jerome Kern ...",2022-12-02T10:30:10Z,https://www.youtube.com/watch?v=syZEKBKeVqg
It&#39;s You I&#39;m Talkin&#39; About - Tommy Dorsey - Edythe Wright - 1936,"It's You I'm Talkin' About From the Paramount film ""Florida Special"" Foxtrot Tommy Dorsey And His Orchestra Vocals: Edythe ...",2022-02-22T18:15:02Z,https://www.youtube.com/watch?v=xu38T_lQAy4
Sweet Is The Word For You - Tommy Dorsey - Jack Leonard - 1937,"Sweet Is The Word For You From the Paramount Picture ""Waikiki Wedding"" Foxtrot Tommy Dorsey And His Orchestra Vocals: ...",2023-02-20T18:15:00Z,https://www.youtube.com/watch?v=DI8mVhuFJpM
In A Little Hula Heaven - Tommy Dorsey - Edythe Wright - 1937,"In A Little Hula Heaven From the Paramount Picture ""Waikiki Wedding"" Foxtrot Tommy Dorsey And His Orchestra Vocals: Edythe ...",2023-02-13T18:15:04Z,https://www.youtube.com/watch?v=dEL5rpYWDWg
1942 TOMMY DORSEY Deep River BIG BAND SWING - 78 RPM Record,Tommy Dorsey And His Orchestra – Deep River Arranged by Sy Oliver Fox Trot Raw 78 RPM audio transfer from Bowness Arts' ...,2022-08-15T06:15:10Z,https://www.youtube.com/watch?v=bKeddOwx0aQ
Jimmy Dorsey And His Orchestra - Whisper While We Dance (1939),Performed by: Jimmy Dorsey And His Orchestra Vocalist: Bob Eberly Full Song Title: Whisper While We Dance Recorded in: June ...,2023-02-04T22:06:52Z,https://www.youtube.com/watch?v=euH_3c44WZs
Jimmy Dorsey And His Orchestra - Stairway To The Stars (1939),Performed by: Jimmy Dorsey And His Orchestra Vocalist: Bob Eberly Full Song Title: Stairway To The Stars Recorded in: June ...,2023-05-05T17:54:25Z,https://www.youtube.com/watch?v=IDDcXFNI5b4
1936 BING CROSBY I&#39;m An Old Cowhand (From The Rio Grande) JIMMY DORSEY Orchestra - 78 RPM Record,Bing Crosby With Jimmy Dorsey And His Orchestra – I'm An Old Cowhand (From The Rio Grande) Written by Johnny Mercer 78 ...,2023-06-25T10:00:37Z,https://www.youtube.com/watch?v=lyK7C6V8090
